,0,1
SpSC32_RS5o6_sc.50,-36.934956,3.9284759
SpSC32_RS5o6_sc.51,-49.351696,11.059806
SpSC32_RS5o6_sc.52,-29.479694,38.48987
SpSC32_RS5o6_sc.53,-57.707916,-13.068869
SpSC32_RS5o6_sc.54,-39.563713,30.029047
SpSC32_RS5o6_sc.55,-73.79811,-15.912816
SpSC32_RS5o6_sc.56,-75.041695,47.200226
SpSC32_RS5o6_sc.57,-61.212032,11.657612
SpSC32_RS5o6_sc.58,-16.768423,22.691868
SpSC32_RS5o6_sc.59,-11.075554,35.6827
SpSC32_RS5o6_sc.60,-15.803159,-0.6004468
SpSC32_RS5o6_sc.61,-5.7799554,-6.0578446
SpSC32_RS5o6_sc.62,-26.207016,18.771093
SpSC9_RS7o8_sc.22,-238.59421,125.98456
SpSC9_RS7o8_sc.25,-58.45886,54.18025
SpSC9_RS7o8_sc.26,-219.73059,119.31504
SpSC9_RS7o8_sc.27,-221.43991,94.65349
SpSC9_RS7o8_sc.30,-231.3483,105.44796
SpSC9_RS7o8_sc.31,-230.35344,115.74617
SpSC9_RS7o8_sc.32,-244.58334,107.97234
SpSC9_RS7o8_sc.33,-253.01064,118.12644
SpSC9_RS7o8_sc.35,-218.83968,110.60391
SpSC9_RS7o8_sc.36,-60.427315,43.710815
SpSC9_RS7o8_sc.37,-52.778236,46.14346
SpSC9_RS7o8_sc.40,-252.74843,129.4646
SpSC9_RS7o8_sc.41,-240.49142,116.55511
SpSC30_RS7o8_sc.1,-200.77124,152.36908
SpSC30_RS7o8_sc.2,-196.459,113.32136
SpSC30_RS7o8_sc.3,-167.17703,136.61105
SpSC30_RS7o8_sc.4,-148.82515,118.21541
SpSC30_RS7o8_sc.9,-150.7861,88.85315
SpSC30_RS7o8_sc.10,-190.2648,134.05081
SpSC30_RS7o8_sc.12,-174.30014,140.96913
SpSC30_RS7o8_sc.13,-176.80638,123.7328
SpSC30_RS7o8_sc.14,-178.59105,132.82181
SpSC30_RS7o8_sc.15,-193.95216,162.14148
SpSC30_RS7o8_sc.16,-210.94807,141.57544
SpSC30_RS7o8_sc.17,-170.09409,158.85489
SpSC30_RS7o8_sc.18,-159.45299,96.7131
SpSC30_RS7o8_sc.19,-193.65825,124.410355
SpSC30_RS7o8_sc.25,-212.71346,155.77472
SpSC30_RS7o8_sc.26,-183.49265,141.08601
SpSC30_RS7o8_sc.29,-186.88815,153.39693
SpSC30_RS7o8_sc.30,-154.38869,138.64241
SpSC30_RS7o8_sc.33,-163.39989,79.82391
SpSC30_RS7o8_sc.37,-185.50476,91.789635
SpSC30_RS7o8_sc.38,-197.0487,91.79043
SpSC30_RS7o8_sc.40,-182.36798,174.18752
SpSC30_RS7o8_sc.41,-205.64629,104.75053
SpSC30_RS7o8_sc.42,-193.06381,104.28401
SpSC30_RS7o8_sc.43,-161.28699,145.80206
SpSC30_RS7o8_sc.44,-187.25058,115.65358
SpSC30_RS7o8_sc.45,-153.54002,155.65543
SpSC30_RS7o8_sc.46,-171.96559,101.77899
SpSC30_RS7o8_sc.47,-149.13026,102.72638
SpSC30_RS7o8_sc.48,-185.11621,126.13003
SpSC30_RS7o8_sc.49,-168.07056,127.825905
SpSC30_RS7o8_sc.50,-178.93854,113.55
SpSC30_RS7o8_sc.51,-204.05428,128.37234
SpSC30_RS7o8_sc.52,-161.29868,121.271095
SpSC30_RS7o8_sc.53,-161.77162,110.19983
SpSC30_RS7o8_sc.54,-176.05357,150.0092
SpSC30_RS7o8_sc.55,-174.64902,87.017235
SpSC30_RS7o8_sc.56,-223.48312,145.66748
SpSC30_RS7o8_sc.57,-154.33861,128.69505
SpSC30_RS7o8_sc.58,-170.58878,116.91638
SpSC30_RS7o8_sc.59,-202.74776,173.73418
SpSC30_RS7o8_sc.60,-194.01314,144.50946
SpSC30_RS7o8_sc.61,-201.62271,139.66054
SpSC30_RS7o8_sc.62,-183.1588,105.12473
