,Gene,Nr2c1,Zbtb3,Rad21,Tal1,Atf1,Smc3,Creb3,Tbp,Mxd1,Mxd4,Ctcfl,Dlx5,Crem,Rfx5,Mesp1,Rfx1,Zfp42,Esx1,Hoxd8,Hoxa4,Fev,Rfx2,Etv2,Creb3l4,Rfx4,Hsfy2
22,Tex12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00949636680268023,-3.2341070162261585,0.0,0.0,-13.788103873598736,0.0,0.0,0.0,0.0,0.0
23,Izumo4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-226.4748014074007,0.0,0.0
24,Hmx1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7347472958929337,0.0,0.0,0.0,-0.3014497710726377,0.0,0.0,0.0,21.094276111080628,-0.0016644238512666194
25,Flrt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Prss48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.399720533256506,0.0,0.0,0.0,-344.2133171667368,0.0,0.9243213059857556,-3.294592034979143,-26.352505164318714,-53.170091082877946,-42.732797496753705,0.0,-0.21184615018947783,202.05217553596648,39.686922892495396,147.53579596525233
27,Epsti1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7912264911434679,0.0,0.0,0.0,0.0,0.0
28,Gh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.460469400733226,0.0,0.0,0.0,0.0,0.0
29,Stk31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.365603422442401,0.0,0.0,0.0,-6.9152180276795345,0.0,-0.9830661734161726,-3.535305157832897,0.0,0.0,0.7559210630215741,0.0,-1.0375909399266567,0.0,14.0838330157014,0.0
30,Lypd4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5738094482236062,0.0,0.0,-141.69631532237003,0.0,0.0,-27.0962076034873,-44.62552859625656,-65.34410520190113,-859.3926075342569,-232.9849468122041,0.0,-80.96265644987598,-431.48929028448066,-473.7691764837076,-431.2814098033053
31,Etv2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
