,Gene,Zbtb3,Rad21,Npas2,Atf1,Smc3,Creb3,Mxi1,Mxd4,Dlx5,Crem,Rfx5,Mesp1,Rfx1,Esx1,Hoxa4,Rfx2,Etv2,Creb3l4,Rfx4,Hsfy2
31,Comp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Ccdc136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-261.43763821131733,0.0
33,H2-DMb1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Hmx1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Olig1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Rxrg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1700018B08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Atp6v1e2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-334.8924690292159,0.0,-15.12659782750502
39,Fam181a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.996447543698709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.548038882236479,30.953279647015275,0.0
40,Ccdc42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.174184883303407,0.0,0.0,0.0,0.0,0.0,-0.6935827957823915,0.0,3.3144065517849235,-29.843865167217192,5.3552908754122575,0.0
41,Jph4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Plekhh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Nme5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23479011098660219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Batf3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Smc1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.863812914849554,0.0
46,Col9a3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22820790695364,0.0
47,Foxa3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Sstr3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Slc5a8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Tuba3a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-125.12075320332602,0.0,0.0,-319.3203480597584,0.0,-43.30122368060761,0.0,0.0,519.6711153422145,2256.298503775673,-225.36278980450928,-374.18805975833186
51,Padi6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031894227113683157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Srgn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Rsph6a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-116.64959062337647,-175.86558200730553
54,Cib4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-588.7661333904341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1818.0427560284772,-783.2656465486236,-507.6293660697973
55,Tmem210,0.0,-3225.8996306362806,0.0,0.0,0.0,0.0,0.0,0.0,-787.6407460202852,-2934.3154744598655,1288.1225705510608,406.0843028606684,382.1795324595534,-160.99081845189787,1081.9984831870531,-148.12919728171403,607.8547869084464,7807.3370598885995,-2925.1424500555704,-2651.8339096971026
56,Rsph1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.10055485173746,0.0,0.0
57,Arc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.010215285038072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.84297000878826,0.0
58,Ypel1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
