,Gene,Nr2c1,Zbtb3,Nanog,Pbx4,Npas2,Atf1,Smc3,Creb3,Mxi1,Mybl1,Tbp,Mxd4,Alx1,Crem,Rfx5,Mesp1,Zfp42,Hoxd8,Hoxa4,Fev,Rfx2,Creb3l4,Rfx4
387,Kcna7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.126314254885301,0.0,0.0,-3.631646951390997,0.0,0.0,0.0
388,Sell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,Prss44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.00662621336251,-5.397927384020607,3.655347904105219,-13.501995497665227,-0.8330775292526158,0.0,2.1902919355189767,-16.623600376027685
390,Cntd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.080357705185209,0.0,0.0,0.0,0.0,0.0,0.0
391,Gata1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,Tcam1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.15945934777213,0.0,0.0,-61.84391063811532,0.0,0.0,-7.3150112942306915
393,Kctd13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.21439025099338,0.0,0.0,66.7528152109023,0.0,0.0,-29.987234092175118
394,Reep2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2838101915674354,0.0,0.0,-7.106060255115865
395,Fancd2os,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4477646745174035,-471.5543295172139,0.0,1438.6310146071226,446.4944330473758,-179.59696211943842,500.7181020923782,234.43802959860872,0.0,-59.046507997848046,-139.6067747192855
396,Smim6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.623833343662096,0.0,0.0,23.04857027815527,0.0,0.0,0.0
397,Lrriq4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5121445765314,-59.59475807834922,0.0,-17.87086308097712
398,Ccdc88b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.507963584773279,0.0,0.0,0.0
399,Syt5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034061246597564473,0.0,0.0,0.0
400,1700001P01Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,Eps8l3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.533108766881842,0.0,0.0,-0.6425547113491437,0.0,0.0,0.0
402,Cilp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,Tdrd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.397693610669283,-4.523973677419922,0.0,-99.1255294870096,-10.748081910543297,-1.187156919810915,-89.66343513177408,-7.556752351172722,0.0,9.435804724402571,3.2785577054823545
404,Dhh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.10039253879192,-27.945237067209703,12.707706357622072,-43.86981191315326,-10.255624652806773,0.0,0.0,0.0
405,Mpp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,Dnah2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,Pbx4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.50872602288516,0.0,0.0,52.20314655298739,0.0,0.0,-48.13058105387433
408,Tex101,0.0,0.0,0.0,0.0,0.0,0.0,171.3116512950671,0.0,0.0,-501.5818986766391,0.0,0.0,-37.846398370116134,4797.438864105812,0.0,-4506.271247478165,-1925.4012089471012,1396.2404126308766,-2333.332481551661,-735.1603756571501,0.0,349.1573603254515,-71.44028797947752
409,Izumo2,0.0,170.01660721925245,-2.0363496979687716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.70662645311091,0.0,0.0,82.94514799376066,0.0,0.0,-65.78781519398267
410,Lactbl1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,Tssk3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.2363449542319,0.0,0.0,74.11737471821046,0.0,-54.9835207751785,0.0
412,Tex29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,Bin2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.381530661402401,0.0,0.0,-8.363001327857528,0.0,5.176422104890804,-2.3484130990849756
414,Zfp316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,Tuba3b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.308585158110045,0.0,0.0,-318.9827209121488,-2133.763911166567,-199.51691584968674,-3442.047588115869,-230.28614403937192,-664.3946910081625,-4848.286250707397,-148.64317598942642,-1013.057611342705,117.83416746426258,-433.76321038398123
416,Myf6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,1700003E16Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,Spats1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.49221184036864,0.0,0.0,-27.56555672309749,0.0,0.0,-2.3042687435661526
