,Gene,Zbtb3,Rad21,Npas2,Atf1,Smc3,Creb3,Egr3,Mxd1,Mxd4,Dlx5,Alx1,Crem,Rfx5,Mesp1,Rfx1,Esx1,Hoxd8,Hoxa4,Fev,Rfx2,Etv2,Creb3l4,Rfx4,Hsfy2
487,Sgca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023089739925884967,0.0,0.0,0.0,-52.22341813386645,0.0
488,Taf7l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004300318805369136,0.0,0.0,0.0,0.0,0.0
489,Egr4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,Prok2,0.0,0.0,0.0,0.0,0.0,0.0,0.7013310890160139,0.0,0.0,-17.10216595253248,0.0,0.0,0.0,-10.912215318336074,0.0,-20.335552737395943,0.0,0.0,0.023544707728458243,0.0,0.0,-47.304554526445315,0.2576162942966832,0.0
491,Fyb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15108128176103777,0.0,0.0,0.0,0.0,0.0
492,Tmem247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1893.6986660660934,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006832444702493628,0.0,0.0,-12.459789501644204,-533.1779487110246,-4294.442338635051
493,Mael,0.0,-107.86682295869612,197.31288127250025,0.0,-997.7556070820701,0.0,0.8514676471875877,-47.922850772722406,-441.7676715548774,-3.577044379266907,-212.69412780213813,-1399.4683245465203,-370.3729472802394,-598.5293513145828,-231.31674227077573,-433.84401516222465,-76.73919346978084,-223.30404326809096,-1.7909768924874985,-90.08373374307862,43.67828861829227,0.0,-167.9627611218737,-1163.3092840256315
494,1700030J22Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,Slc25a41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.153766769225385,0.0,7.963582882287691,-14.21336368978525,0.0,-107.93860197947055,-662.9974248458251,6.463970964440736,0.0
496,Tcfl5,0.0,0.0,0.0,0.0,0.0,0.0,-1.8970603917174511,0.0,0.0,0.0,7.076752372828603,-5.436707796173785,0.0,-20.547303273515187,0.0,12.531243142824207,-0.004654984345882814,1.7834116280868935,0.022970524291867453,0.0,-9.601641459608476,-43.21354982643982,0.0,0.0
497,Fam131a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.27089660510194,0.0,0.0
498,Gimap3,0.0,0.6241539580756126,0.0,0.0,-66.55783803584997,0.0,-0.6189086030825875,0.0,0.0,0.0,-9.105587576707764,-37.88041342298837,0.0,18.591530953733916,0.0,-40.79297714464079,16.089074795905233,-24.486418384834167,0.30337057584810867,0.0,2.2819248896684186,-25.776731507026383,-0.6013007231481946,-14.744420521631117
499,Odf3l1,0.0,-240.44734041806802,0.0,-463.01121622163896,0.0,0.0,16.697440385576886,0.0,0.0,-115.89114867765417,8.102117460372616,-208.23104781055818,0.0,-693.6481545899971,0.0,161.46578102728077,-174.82305489912287,-19.254643337260497,14.405145142595428,0.0,30.802606162871072,-541.624179881641,-160.72290001264216,-597.4413743070335
500,Rasl2-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,Pnoc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.485466498240817,0.0
502,Fam92b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.88726522668973,0.0,0.0,0.15582665393055561,0.0,0.0,-282.4226395312601,-0.7703936327812261,0.0
503,1700018B08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
504,Ube2d2b,0.0,0.0,0.0,0.0,-43.353710774855635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2367269750289778,-18.017724996468583,0.0,-0.11033569492194364,-68.75525227403082,0.0,-1862.5855467017327,-122.83241539837154,-106.12454521000802
505,Zfp42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
